Timestamp,Duration_Seconds,Dialogue
"00:00:02,388 --> 00:00:06,862",4.474,MY LIBERATION NOTES
"00:00:06,942 --> 00:00:11,856",4.914,MY LIBERATION NOTES
"00:00:12,337 --> 00:00:14,000",1.663,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:14,089 --> 00:00:15,775",1.686,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:20,079 --> 00:00:22,123",2.044,Mi-jeong texts someone a lot these days.
"00:00:22,206 --> 00:00:23,749",1.543,"There's a guy, isn't there?"
"00:00:23,833 --> 00:00:26,627",2.794,Did you see what she said on our chat by mistake yesterday?
"00:00:26,711 --> 00:00:28,963",2.252,"""I'm off work now. I just got on the train."""
"00:00:29,046 --> 00:00:30,965",1.919,"-I saw it. -Yes, I saw it."
"00:00:31,048 --> 00:00:32,884",1.836,Who was that for?
"00:00:32,967 --> 00:00:34,385",1.418,Is it that guy?
"00:00:34,468 --> 00:00:37,346",2.878,The guy who ate at your house and made you uncomfortable.
"00:00:37,430 --> 00:00:38,347",0.917,"It's him, isn't it?"
"00:00:40,183 --> 00:00:41,058",0.875,Yes.
"00:00:42,310 --> 00:00:43,936",1.626,-Really? -No way.
"00:00:44,020 --> 00:00:45,730",1.710,-No way. -It was just a wild guess.
"00:00:46,814 --> 00:00:48,316",1.502,Seriously?
"00:00:48,399 --> 00:00:49,609",1.210,What happened?
"00:00:54,864 --> 00:00:57,074",2.210,What do you like about that guy?
"00:01:01,037 --> 00:01:02,163",1.126,"Yes, what?"
"00:01:04,081 --> 00:01:04,916",0.835,I don't know.
"00:01:06,375 --> 00:01:07,919",1.544,That's your answer to everything.
"00:01:10,296 --> 00:01:11,547",1.251,What do you like about him?
"00:01:13,424 --> 00:01:14,967",1.543,What makes him charming?
"00:01:15,718 --> 00:01:16,761",1.043,What attracted you?
"00:01:25,645 --> 00:01:27,521",1.876,It's okay. Take your time.
"00:01:27,605 --> 00:01:28,981",1.376,-Take your time. -Yes.
"00:01:31,067 --> 00:01:32,526",1.459,He has no shell.
"00:01:38,658 --> 00:01:42,078",3.420,"You know, there are people who are very polite,"
"00:01:42,787 --> 00:01:45,456",2.669,but it feels like it's just their shell.
"00:01:45,539 --> 00:01:48,334",2.795,A shell so hard
"00:01:48,918 --> 00:01:51,921",3.003,that it feels like you'll never be able to reach the person inside.
"00:01:54,006 --> 00:01:55,091",1.085,But this guy
"00:01:56,217 --> 00:01:57,385",1.168,has no shell.
"00:02:05,226 --> 00:02:06,811",1.585,"She called him ""this guy."""
"00:02:06,894 --> 00:02:08,104",1.210,So?
"00:02:08,771 --> 00:02:11,399",2.628,Can't you see a clear difference?
"00:02:12,441 --> 00:02:15,027",2.586,"She called him ""this guy"" when he's not here."
"00:02:17,446 --> 00:02:18,823",1.377,It means he's in here.
"00:02:18,906 --> 00:02:20,574",1.668,Gosh.
"00:02:26,122 --> 00:02:30,209",4.087,SANPO SINKS
"00:03:10,166 --> 00:03:12,293",2.127,For God's sake.
"00:03:13,002 --> 00:03:14,253",1.251,Damn.
"00:03:17,757 --> 00:03:18,716",0.959,I mean…
"00:03:18,799 --> 00:03:19,633",0.834,CHOI JUN-HO
