Timestamp,Duration_Seconds,Dialogue
"00:00:02,388 --> 00:00:06,862",4.474,MY LIBERATION NOTES
"00:00:06,942 --> 00:00:11,856",4.914,MY LIBERATION NOTES
"00:00:12,360 --> 00:00:13,999",1.639,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:14,088 --> 00:00:15,774",1.686,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:57,090 --> 00:00:57,924",0.834,Wait here.
"00:00:58,508 --> 00:00:59,676",1.168,I'll go.
"00:02:08,077 --> 00:02:10,914",2.837,I'm getting goosebumps. Why am I getting goosebumps?
"00:02:54,415 --> 00:02:56,334",1.919,"Gu, you're not some regular guy, are you?"
"00:02:56,834 --> 00:02:59,462",2.628,"You used to be a national athlete, right?"
"00:03:00,588 --> 00:03:01,464",0.876,"I mean, Gu…"
"00:03:02,674 --> 00:03:05,969",3.295,Why is someone like you picking peppers in the countryside?
"00:04:27,508 --> 00:04:28,634",1.126,Go wash up.
"00:04:59,207 --> 00:05:00,208",1.001,Wash up and come eat.
"00:05:28,444 --> 00:05:30,905",2.461,Why are you wearing a hat when we're eating?
"00:05:32,365 --> 00:05:34,367",2.002,They said I should avoid the sun.
"00:05:35,368 --> 00:05:38,704",3.336,"Good going, wasting your money just to get uglier."
"00:06:01,310 --> 00:06:02,728",1.418,Gosh.
"00:06:03,437 --> 00:06:06,607",3.170,"Are there this many track and field athletes with the last name ""Gu?"""
"00:06:07,650 --> 00:06:09,569",1.919,Can you just tell me your name?
"00:06:12,864 --> 00:06:13,865",1.001,Gu Jin-seok?
"00:06:16,242 --> 00:06:17,076",0.834,Gu Ja-yoon?
"00:06:19,120 --> 00:06:23,207",4.087,"Just wait and see. Your name must be in here, I'm telling you."
"00:06:24,333 --> 00:06:25,168",0.835,Gu Ja-gyeong!
"00:06:26,169 --> 00:06:27,170",1.001,Will you just eat?
"00:06:27,920 --> 00:06:28,796",0.876,Fine.
"00:06:33,176 --> 00:06:34,260",1.084,Gu Chang-mo?
"00:06:37,180 --> 00:06:38,306",1.126,Gu Chang-mo?
"00:06:40,308 --> 00:06:41,851",1.543,I can't believe I know Gu Chang-mo.
"00:06:41,934 --> 00:06:44,353",2.419,"No, that can't be."
"00:06:44,437 --> 00:06:46,856",2.419,"Even if I know, I should pretend I don't."
"00:06:46,939 --> 00:06:48,441",1.502,I don't know anything.
"00:06:49,942 --> 00:06:50,776",0.834,Gu Yoon-hoe?
"00:07:02,371 --> 00:07:03,539",1.168,Gu Bon-gyeong?
"00:07:05,833 --> 00:07:09,045",3.212,"You're really perfect for track and field, Gu."
"00:07:09,128 --> 00:07:14,008",4.880,"You know, those who challenge their limits all on their own usually have"
"00:07:14,091 --> 00:07:15,468",1.377,"a solitary side, right?"
"00:07:16,469 --> 00:07:18,930",2.461,What's your specialty? The 800m?
"00:07:23,684 --> 00:07:24,644",0.960,Just let me rest.
"00:07:26,729 --> 00:07:27,605",0.876,All right.
"00:07:28,773 --> 00:07:31,067",2.294,"I have nothing to say, okay?"
"00:07:32,485 --> 00:07:33,778",1.293,And nothing I want to hear.
"00:07:35,738 --> 00:07:36,739",1.001,Okay.
