Timestamp,Duration_Seconds,Dialogue
"00:00:43,544 --> 00:00:46,001",2.457,MY LIBERATION NOTES
"00:00:56,158 --> 00:01:00,998",4.840,MY LIBERATION NOTES
"00:01:20,038 --> 00:01:23,917",3.879,<i>Damn it. It's not just us who's been taking money on the side.</i>
"00:01:26,086 --> 00:01:27,921",1.835,He's raked in even more dough than us.
"00:01:28,671 --> 00:01:31,257",2.586,He must want to get rid of us and keep it all to himself.
"00:01:31,341 --> 00:01:33,051",1.710,Chairman Shin must know that. So why?
"00:01:33,134 --> 00:01:34,928",1.794,<i>Why do you think he's doing nothing?</i>
"00:01:38,431 --> 00:01:39,933",1.502,Have it your way.
"00:01:43,019 --> 00:01:44,103",1.084,"Yes, sir."
"00:01:46,397 --> 00:01:48,817",2.420,<i>I'm sure he's waiting.</i>
"00:01:50,568 --> 00:01:54,489",3.921,He's waiting for us to take down Baek.
"00:01:55,240 --> 00:01:56,282",1.042,"Listen, Ja-gyeong."
"00:01:57,492 --> 00:01:58,535",1.043,Let's get him.
"00:01:58,618 --> 00:02:00,620",2.002,"<i>Come on, we can take him down together.</i>"
"00:02:02,539 --> 00:02:03,373",0.834,Listen.
"00:02:05,959 --> 00:02:07,043",1.084,I'm…
"00:02:10,380 --> 00:02:12,090",1.710,completely exhausted.
"00:02:27,397 --> 00:02:31,401",4.004,SUPERMARKET
"00:02:36,030 --> 00:02:39,200",3.170,"<i>It's just what you say when you want to end it with a woman, isn't it?</i>"
"00:02:40,243 --> 00:02:42,120",1.877,"<i>""The woman I used to live with died.""</i>"
"00:02:42,620 --> 00:02:44,289",1.669,"<i>""Because of me.""</i>"
"00:04:08,665 --> 00:04:13,753",5.088,No! Go away!
"00:04:16,673 --> 00:04:18,383",1.710,You damn mutts!
"00:04:19,092 --> 00:04:23,638",4.546,"Go! Go away! Go! I said, go!"
"00:04:24,264 --> 00:04:25,098",0.834,Hey!
"00:04:29,269 --> 00:04:32,855",3.586,Hey! Get lost! Go!
"00:04:33,815 --> 00:04:34,983",1.168,Goddamn mutts.
"00:04:43,533 --> 00:04:44,993",1.460,"I told you, they're wild dogs."
"00:05:18,109 --> 00:05:20,153",2.044,You keep making things worse.
"00:05:25,033 --> 00:05:28,870",3.837,"Today, I'll get my arm bit off, and tomorrow, a broken nose."
"00:05:30,330 --> 00:05:32,206",1.876,"Misfortunes should come in small doses,"
"00:05:32,290 --> 00:05:34,542",2.252,but you keep stopping them and making them bigger.
"00:05:38,921 --> 00:05:40,882",1.961,I'm scared every time you stop them.
"00:05:43,176 --> 00:05:44,677",1.501,"""Now it's gotten even bigger."""
"00:05:45,762 --> 00:05:47,221",1.459,"""How bad is it going to be?"""
"00:06:06,491 --> 00:06:07,450",0.959,<i>You…</i>
"00:06:08,951 --> 00:06:10,578",1.627,<i>have to kill your instincts.</i>
"00:06:12,205 --> 00:06:15,291",3.086,<i>You have to go to the city and numb them.</i>
"00:06:16,626 --> 00:06:19,420",2.794,"<i>So that instead of talking about frogs being crushed to death,</i>"
"00:06:20,421 --> 00:06:23,174",2.753,<i>you have to be able to sincerely talk about superficial stuff</i>
"00:06:23,257 --> 00:06:25,927",2.670,<i>like other women do.</i>
"00:06:27,220 --> 00:06:28,679",1.459,<i>Until you get sick of it.</i>
"00:06:30,264 --> 00:06:32,558",2.294,<i>Until you're sick to death of men.</i>
"00:06:35,978 --> 00:06:37,897",1.919,<i>Women with sharp instincts can be scary.</i>
"00:06:46,155 --> 00:06:47,073",0.918,You…
"00:06:53,037 --> 00:06:53,913",0.876,scare me.
"00:07:47,675 --> 00:07:49,552",1.877,As long as you live in a place like this…
"00:07:51,596 --> 00:07:53,639",2.043,you won't be able to kill your instincts.
"00:08:09,947 --> 00:08:11,699",1.752,"Gosh, I see you've had a lot to drink."
"00:08:24,504 --> 00:08:29,133",4.629,I should take a picture of us being so chummy.
"00:08:40,978 --> 00:08:42,021",1.043,Gu.
"00:08:42,939 --> 00:08:44,148",1.209,Now we can say
"00:08:45,233 --> 00:08:46,984",1.751,we've watched the stars together.
"00:08:50,238 --> 00:08:51,280",1.042,Get up.
"00:08:58,913 --> 00:09:00,998",2.085,SANPO SINKS
"00:09:13,970 --> 00:09:15,388",1.418,ALPHA RETAIL
"00:09:15,471 --> 00:09:16,681",1.210,<i>Is this Sanpo City Hall?</i>
"00:09:16,764 --> 00:09:18,349",1.585,Good afternoon.
"00:09:18,432 --> 00:09:21,060",2.628,"I live at 748-6, Gondal-dong."
"00:09:21,143 --> 00:09:24,146",3.003,There are dangerous dogs on the way to Gondal Reservoir.
"00:09:24,230 --> 00:09:26,148",1.918,The new product orientation will begin now!
"00:09:26,649 --> 00:09:29,735",3.086,"Yes, on the way to Gondal Reservoir."
"00:09:30,528 --> 00:09:31,988",1.460,"Yes, all right."
"00:09:32,071 --> 00:09:33,489",1.418,"-Yes, thank you. -Sir."
"00:09:33,573 --> 00:09:34,949",1.376,"Yes, let's go."
