Timestamp,Duration_Seconds,Dialogue
"00:00:00,086 --> 00:00:08,727",8.641,MY LIBERATION NOTES
"00:00:09,220 --> 00:00:10,845",1.625,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:10,933 --> 00:00:12,605",1.672,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:01:23,401 --> 00:01:26,048",2.647,You sit there under an umbrella while everyone's working.
"00:01:26,131 --> 00:01:27,743",1.612,Don't you feel sorry for them?
"00:01:27,827 --> 00:01:30,060",2.233,"They're not working right now, you know!"
"00:01:33,492 --> 00:01:36,304",2.812,They're on a date.
"00:01:45,858 --> 00:01:47,264",1.406,Jeez.
"00:01:47,883 --> 00:01:49,497",1.614,"God, it's hot."
"00:01:50,613 --> 00:01:52,474",1.861,The weather's so freaking hot today.
"00:01:53,798 --> 00:01:55,286",1.488,Gosh.
"00:01:57,106 --> 00:01:58,636",1.530,"God, he's trying so hard."
"00:01:59,256 --> 00:02:00,208",0.952,Jeez.
"00:02:01,904 --> 00:02:02,731",0.827,Let's go.
"00:02:09,968 --> 00:02:11,869",1.901,You should've parked in the shade.
"00:02:12,449 --> 00:02:14,310",1.861,It was in the shade earlier.
"00:02:14,392 --> 00:02:17,535",3.143,You should've parked so it would be in the shade when you came out.
"00:02:17,618 --> 00:02:18,900",1.282,How am I supposed to know that?
"00:02:19,520 --> 00:02:21,547",2.027,You don't even know which way the sun sets?
"00:02:21,629 --> 00:02:23,490",1.861,Where will this shade move to later?
"00:02:23,574 --> 00:02:25,682",2.108,I'm sure it'll go wherever it wants to go.
"00:02:28,453 --> 00:02:29,735",1.282,"When it snows,"
"00:02:31,017 --> 00:02:35,732",4.715,it's amazing to have a barbecue here.
"00:02:35,814 --> 00:02:38,999",3.185,"Watching the snow pile up all around, you know?"
"00:02:39,081 --> 00:02:41,273",2.192,"When you grill meat on a campfire here,"
"00:02:42,927 --> 00:02:44,293",1.366,"you think, ""Where am I?"""
"00:02:45,285 --> 00:02:47,642",2.357,It feels unfamiliar
"00:02:47,724 --> 00:02:48,966",1.242,"but cozy, you know?"
"00:02:49,461 --> 00:02:50,330",0.869,Yes.
"00:02:51,033 --> 00:02:52,397",1.364,Sounds really nice.
"00:02:54,134 --> 00:02:55,996",1.862,You should invite us some time.
"00:02:58,105 --> 00:02:59,966",1.861,"Yes. Of course, yes."
"00:03:00,048 --> 00:03:01,248",1.200,You promise?
"00:03:01,330 --> 00:03:02,323",0.993,Yes.
"00:03:04,349 --> 00:03:05,466",1.117,Bye.
"00:03:05,549 --> 00:03:07,037",1.488,We'll be off then. Goodbye.
"00:03:07,121 --> 00:03:09,188",2.067,See you at school after the break.
"00:03:09,891 --> 00:03:12,000",2.109,Sure. Take care.
"00:03:25,565 --> 00:03:28,459",2.894,Why won't you accept payment for the farm work?
"00:03:32,098 --> 00:03:34,704",2.606,It's because I like doing it.
"00:03:35,283 --> 00:03:38,426",3.143,"Still, I feel bad making you work for free."
"00:03:38,508 --> 00:03:39,419",0.911,Let me pay you.
"00:03:40,659 --> 00:03:42,479",1.820,It's really fine. I enjoy it.
"00:03:42,562 --> 00:03:46,077",3.515,"But still, it doesn't sit right with us."
"00:03:46,159 --> 00:03:47,979",1.820,We should pay you for--
"00:03:48,062 --> 00:03:50,378",2.316,"He says he enjoys it. Well, why wouldn't he?"
"00:03:50,956 --> 00:03:53,893",2.937,"He enjoys it, so take a hint and stop insisting."
"00:04:23,503 --> 00:04:24,537",1.034,What?
"00:04:25,778 --> 00:04:26,853",1.075,Keep at it.
"00:04:28,507 --> 00:04:31,650",3.143,I have you at my mercy. How dare you glare at me like that?
"00:04:35,000 --> 00:04:37,854",2.854,What does it feel like to date someone who lives in the area?
"00:04:38,557 --> 00:04:41,700",3.143,"You're just like the people in Seoul, dating within the neighborhood."
"00:04:44,305 --> 00:04:47,076",2.771,"All this time, I thought you had to take the bus and the train"
"00:04:47,158 --> 00:04:49,846",2.688,to go all the way to Seoul to meet someone.
"00:04:49,929 --> 00:04:54,603",4.674,I never even imagined you would be able to find someone in this countryside.
"00:04:54,685 --> 00:04:57,539",2.854,It's so nice and economical. You can even eat together at home.
"00:05:09,821 --> 00:05:15,734",5.913,GONDAL-RO ENTRANCE
"00:05:32,070 --> 00:05:36,164",4.094,"Since you're tall and skinny, I can see if you're on a bus even from afar."
"00:05:36,247 --> 00:05:38,687",2.440,I can see you too. Since you're fat.
"00:05:46,875 --> 00:05:48,902",2.027,I'm dying of hunger.
"00:05:49,687 --> 00:05:50,845",1.158,Are you that hungry?
"00:05:50,928 --> 00:05:52,417",1.489,I feel like I'm going to die.
"00:05:53,450 --> 00:05:55,518",2.068,Right. Go have dinner if you're hungry.
"00:05:56,842 --> 00:05:58,785",1.943,Come with me. Let's eat together.
"00:05:59,860 --> 00:06:01,308",1.448,"No, I'm not hungry."
"00:06:02,218 --> 00:06:03,169",0.951,What's wrong?
"00:06:06,478 --> 00:06:07,676",1.198,What happened?
"00:06:11,151 --> 00:06:12,433",1.282,"Apparently, Ms. Kwak"
"00:06:13,260 --> 00:06:14,872",1.612,broke up with her boyfriend.
"00:06:20,000 --> 00:06:20,952",0.952,All right.
"00:06:35,054 --> 00:06:36,708",1.654,Don't you have any coffee beans?
"00:06:37,411 --> 00:06:38,858",1.447,They're in the freezer.
"00:06:41,298 --> 00:06:42,622",1.324,I'll have an iced americano.
"00:06:43,531 --> 00:06:44,441",0.910,Me too.
"00:06:46,385 --> 00:06:48,040",1.655,You said you weren't hungry.
"00:06:49,900 --> 00:06:51,100",1.200,I was just pretending.
"00:06:51,595 --> 00:06:52,506",0.911,To look sentimental.
"00:06:54,077 --> 00:06:56,848",2.771,You're lucky I forced you to eat with me.
"00:06:56,931 --> 00:06:57,799",0.868,"You know, right?"
