Timestamp,Duration_Seconds,Dialogue
"00:00:00,078 --> 00:00:04,552",4.474,MY LIBERATION NOTES
"00:00:04,632 --> 00:00:07,305",2.673,MY LIBERATION NOTES
"00:00:07,841 --> 00:00:09,480",1.639,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:09,569 --> 00:00:11,255",1.686,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:32,460 --> 00:00:35,338",2.878,"It's such a shame about today, sir."
"00:00:36,423 --> 00:00:38,300",1.877,I swear I almost hit it.
"00:00:39,175 --> 00:00:43,471",4.296,"Sir, why don't we go around to check out the other side?"
"00:00:48,560 --> 00:00:53,189",4.629,One of my managers got into some trouble and has been arrested by the police.
"00:00:53,815 --> 00:00:56,651",2.836,For something personal. It has nothing to do with the club.
"00:00:56,735 --> 00:00:58,153",1.418,But…
"00:01:00,071 --> 00:01:03,033",2.962,I think our chatrooms have been exposed to the police.
"00:01:04,451 --> 00:01:05,702",1.251,So…
"00:01:06,494 --> 00:01:09,205",2.711,"they must've figured out how much we charge per table,"
"00:01:11,041 --> 00:01:14,544",3.503,"so we'll have to declare our real income, sir."
"00:01:17,005 --> 00:01:17,881",0.876,Then…
"00:01:18,632 --> 00:01:20,884",2.252,we'll just have to raise the price.
"00:01:23,094 --> 00:01:23,970",0.876,"Yes, sir."
"00:02:04,260 --> 00:02:08,181",3.921,"-One, two, three! Rock, paper, scissors! -One, two, three! Rock, paper, scissors!"
"00:02:08,264 --> 00:02:09,974",1.710,-Yes! -Yes.
"00:02:10,058 --> 00:02:10,934",0.876,-Hello? -Damn it.
"00:02:11,017 --> 00:02:12,769",1.752,You can reserve a table now.
"00:02:13,728 --> 00:02:15,563",1.835,"All right, I got it!"
"00:02:27,367 --> 00:02:28,535",1.168,DAILY SALES REPORT
"00:02:29,911 --> 00:02:31,413",1.502,TOTAL REVENUE UNREPORTED CASH INCOME
