Timestamp,Duration_Seconds,Dialogue
"00:00:02,388 --> 00:00:06,862",4.474,MY LIBERATION NOTES
"00:00:06,942 --> 00:00:11,856",4.914,MY LIBERATION NOTES
"00:00:12,289 --> 00:00:13,928",1.639,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:14,017 --> 00:00:15,703",1.686,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:46,236 --> 00:00:48,322",2.086,Stop messing around with your hair.
"00:00:49,823 --> 00:00:52,618",2.795,Before Tae-hun shaves his head and goes to live in a temple.
"00:00:54,620 --> 00:00:55,787",1.167,"If I had a crazy sister,"
"00:00:55,871 --> 00:00:59,583",3.712,"a daughter who doesn't listen to him, and a hysterical girlfriend…"
"00:01:03,837 --> 00:01:06,506",2.669,Is there anything I can do as I please apart from my hair?
"00:01:10,427 --> 00:01:12,262",1.835,You are quite bold.
"00:01:12,346 --> 00:01:14,223",1.877,Cutting your own hair at home.
"00:01:14,306 --> 00:01:16,516",2.210,I did go to a salon to fix it a little.
"00:01:16,600 --> 00:01:20,812",4.212,"Still, what if you'd ruined it? You said you cut it with kitchen scissors."
"00:01:21,313 --> 00:01:22,648",1.335,I just
"00:01:23,232 --> 00:01:25,359",2.127,wanted to try cutting it with my own hands.
"00:01:27,110 --> 00:01:28,528",1.418,Are you feeling better?
"00:01:38,080 --> 00:01:39,414",1.334,SURROUND AIR MASSAGER
"00:01:39,498 --> 00:01:42,668",3.170,<i>I'm thinking of getting this for your father's birthday present.</i>
"00:01:47,965 --> 00:01:50,759",2.794,<i>No. You already gave him gifts on </i>Chuseok<i> and New Year's.</i>
"00:01:50,842 --> 00:01:53,303",2.461,"<i>You don't need to get something for his birthday, too…</i>"
"00:01:53,387 --> 00:01:56,014",2.627,<i>Just skip my dad's birthday. Please.</i>
"00:02:00,352 --> 00:02:01,311",0.959,<i>All right.</i>
"00:02:04,189 --> 00:02:05,357",1.168,<i>Thank you.</i>
"00:02:07,567 --> 00:02:09,361",1.794,<i>Have a safe trip home.</i>
"00:02:09,444 --> 00:02:11,196",1.752,<i>And enjoy your lunch.</i>
"00:02:13,073 --> 00:02:14,866",1.793,"<i>You, too. Enjoy your lunch.</i>"
"00:02:25,877 --> 00:02:27,295",1.418,I'll have kimchi stew.
"00:02:27,379 --> 00:02:28,338",0.959,All right.
"00:02:29,006 --> 00:02:31,258",2.252,Me? I'll have kimchi <i>deopbap.</i>
"00:02:31,341 --> 00:02:32,217",0.876,Me too.
"00:02:33,301 --> 00:02:34,761",1.460,What's this?
"00:02:36,847 --> 00:02:39,266",2.419,I don't look good in anything since my hair's shorter.
"00:02:39,349 --> 00:02:40,308",0.959,"I know, right?"
"00:02:42,936 --> 00:02:44,813",1.877,"Oh, hello."
"00:02:46,273 --> 00:02:47,149",0.876,Hi.
"00:02:49,568 --> 00:02:51,236",1.668,What? Tae-hun?
"00:02:52,654 --> 00:02:53,655",1.001,-Hello. -Hello.
"00:02:54,573 --> 00:02:55,782",1.209,Hello.
"00:03:00,454 --> 00:03:01,330",0.876,Your hair…
"00:03:05,500 --> 00:03:06,501",1.001,I cut it.
"00:03:08,587 --> 00:03:09,755",1.168,I see.
