Timestamp,Duration_Seconds,Dialogue
"00:00:02,474 --> 00:00:06,948",4.474,MY LIBERATION NOTES
"00:00:07,028 --> 00:00:11,942",4.914,MY LIBERATION NOTES
"00:00:12,446 --> 00:00:14,085",1.639,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:14,174 --> 00:00:15,860",1.686,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:51,821 --> 00:00:53,323",1.502,Mom…
"00:00:59,037 --> 00:01:01,873",2.836,They say you can't choose to die peacefully in your sleep
"00:01:01,957 --> 00:01:03,541",1.584,no matter how rich you are.
"00:01:04,084 --> 00:01:07,754",3.670,And Hye-suk managed to do it.
"00:01:08,630 --> 00:01:10,882",2.252,It's because this family has such good luck.
"00:01:10,966 --> 00:01:15,345",4.379,"Mom, Dad, and even the daughter-in-law all passed away in their sleep."
"00:01:16,471 --> 00:01:19,808",3.337,"That's my dream, too, you know?"
"00:01:20,433 --> 00:01:22,018",1.585,I feel so bad for my brother.
"00:01:22,102 --> 00:01:23,728",1.626,Je-ho!
"00:01:23,812 --> 00:01:27,565",3.753,-I'm so sorry. -Mom.
"00:01:27,649 --> 00:01:29,818",2.169,Mom…
"00:01:33,113 --> 00:01:35,532",2.419,My poor brother.
"00:01:41,871 --> 00:01:47,877",6.006,CREMATORIUM
"00:02:07,564 --> 00:02:11,401",3.837,LATE KWAK HYE-SUK
"00:02:18,783 --> 00:02:20,869",2.086,When I end up lying there…
"00:02:23,163 --> 00:02:24,247",1.084,who do you think…
"00:02:26,041 --> 00:02:27,625",1.584,will be standing here?
"00:02:32,088 --> 00:02:33,798",1.710,Probably me.
"00:02:37,343 --> 00:02:38,511",1.168,Let's…
"00:02:41,556 --> 00:02:43,058",1.502,get married.
"00:02:54,069 --> 00:02:57,030",2.961,It seems like an artificial joint. What do you want to do with it?
"00:03:01,159 --> 00:03:02,869",1.710,How does this work?
"00:03:03,453 --> 00:03:05,872",2.419,"Well, if you want us to discard it, we can."
"00:03:09,417 --> 00:03:11,336",1.919,"Pack it up, please."
"00:03:43,159 --> 00:03:45,036",1.877,LATE KWAK HYE-SUK
"00:04:03,138 --> 00:04:05,098",1.960,"Get some sleep, Dad."
"00:04:13,940 --> 00:04:17,610",3.670,LATE KWAK HYE-SUK
"00:06:44,549 --> 00:06:50,638",6.089,SANPO SINKS
"00:07:06,821 --> 00:07:08,615",1.794,I'll do some grocery shopping tomorrow.
