Timestamp,Duration_Seconds,Dialogue
"00:00:00,073 --> 00:00:04,547",4.474,MY LIBERATION NOTES
"00:00:04,620 --> 00:00:09,320",4.700,MY LIBERATION NOTES
"00:00:09,787 --> 00:00:11,426",1.639,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:11,507 --> 00:00:13,193",1.686,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:38,564 --> 00:00:41,316",2.752,"Here. Help yourself as much as you want, okay?"
"00:00:42,234 --> 00:00:43,110",0.876,Go on.
"00:00:47,614 --> 00:00:48,490",0.876,I'm done.
"00:00:59,835 --> 00:01:01,086",1.251,I've never heard that man
"00:01:01,169 --> 00:01:04,590",3.421,compliment anyone on the job. Not even once.
"00:01:04,673 --> 00:01:06,466",1.793,But he loves you.
"00:01:06,550 --> 00:01:10,095",3.545,He says you're a good worker and that you'd be good at anything.
"00:01:11,179 --> 00:01:14,600",3.421,I've never heard him compliment anyone other than Mi-jeong.
"00:01:15,892 --> 00:01:18,520",2.628,"She's always been his favorite, you know."
"00:01:18,604 --> 00:01:21,857",3.253,"He always glares at me when he sees the drawers I make,"
"00:01:22,441 --> 00:01:24,359",1.918,but he never complains about her work.
"00:01:25,027 --> 00:01:29,865",4.838,She could install moldings and use every machine since she was in third grade.
"00:01:29,948 --> 00:01:32,284",2.336,And she was quite good.
"00:01:34,119 --> 00:01:39,625",5.506,Look. That's her at the workshop when she was little.
"00:01:46,298 --> 00:01:48,800",2.502,Her siblings would always toss their book bags
"00:01:48,884 --> 00:01:50,552",1.668,"and run outside after school,"
"00:01:50,636 --> 00:01:53,347",2.711,but she'd go to the workshop even before doing her homework.
"00:01:54,931 --> 00:01:56,224",1.293,I guess she found it fun.
"00:01:56,308 --> 00:01:58,435",2.127,"Otherwise, she wouldn't have been so into it."
"00:01:58,518 --> 00:02:00,520",2.002,"Hey, I need a basket!"
"00:02:00,604 --> 00:02:01,563",0.959,Okay!
"00:02:43,730 --> 00:02:44,564",0.834,Seriously.
"00:02:44,648 --> 00:02:46,358",1.710,Zip it until we get home.
"00:02:46,441 --> 00:02:48,777",2.336,I'm your only older sister. How could you?
"00:02:49,569 --> 00:02:51,488",1.919,"Jeez, that's enough!"
"00:02:51,571 --> 00:02:54,241",2.670,-What are you talking about? -Here we go again!
"00:02:55,534 --> 00:02:58,537",3.003,"That asshole said ""fuck"" to my face in front of everybody!"
"00:02:59,121 --> 00:03:01,415",2.294,"I never said anything like ""fuck""!"
"00:03:01,498 --> 00:03:02,541",1.043,I heard it!
"00:03:02,624 --> 00:03:05,043",2.419,"Okay, fine, I said it. I said ""fuck."""
"00:03:05,127 --> 00:03:07,170",2.043,Who brings their coffee onto a bus these days?
"00:03:07,254 --> 00:03:11,633",4.379,"There was only ice in the cup. I just couldn't find a trash can, dumbass."
"00:03:11,717 --> 00:03:15,011",3.294,Why do you wear high heels when you can't even balance yourself properly?
"00:03:15,095 --> 00:03:17,848",2.753,Why did you have to carry it and fall into my arms?
"00:03:17,931 --> 00:03:19,766",1.835,I didn't fall into your arms.
"00:03:19,850 --> 00:03:20,892",1.042,When did I?
"00:03:20,976 --> 00:03:22,602",1.626,-I was just like this. -Damn it!
"00:03:22,686 --> 00:03:23,645",0.959,-I didn't. -Jeez!
"00:03:23,729 --> 00:03:25,897",2.168,This is embarrassing. Cut it out and get inside.
"00:03:26,982 --> 00:03:27,983",1.001,For God's sake.
"00:03:28,066 --> 00:03:29,067",1.001,-Jeez. -Gosh.
"00:03:29,860 --> 00:03:32,654",2.794,That little bastard. How dare he glare at me like that?
"00:03:36,783 --> 00:03:37,826",1.043,Yeom Chang-hee.
"00:03:38,535 --> 00:03:39,619",1.084,Yeom Chang-hee.
"00:03:55,635 --> 00:03:57,804",2.169,"Jeez, look what you did to her."
"00:04:27,709 --> 00:04:28,752",1.043,"Hey, that's…"
"00:04:31,129 --> 00:04:33,131",2.002,That's my slipper.
"00:04:39,137 --> 00:04:41,807",2.670,"Seriously, why would you throw that?"
"00:04:42,766 --> 00:04:43,850",1.084,Jeez.
"00:04:44,351 --> 00:04:45,519",1.168,You go get it.
"00:04:48,647 --> 00:04:53,527",4.880,All the other kids get along with their siblings just fine.
"00:04:54,277 --> 00:04:56,613",2.336,So what's wrong with the kids in this house?
"00:04:57,197 --> 00:04:59,699",2.502,"All you ever do is yell at each other, you know that?"
"00:04:59,783 --> 00:05:03,036",3.253,Aren't you old enough to know how embarrassing it is?
"00:05:03,119 --> 00:05:04,955",1.836,I held back until I got home.
"00:05:14,798 --> 00:05:17,717",2.919,You've got to be careful with Mi-jeong.
"00:05:17,801 --> 00:05:19,177",1.376,She has a temper.
"00:05:19,261 --> 00:05:21,304",2.043,It's scary when she loses it.
"00:05:22,055 --> 00:05:23,348",1.293,"I mean, she's…"
"00:05:23,431 --> 00:05:24,641",1.210,How should I put this?
"00:05:25,517 --> 00:05:27,394",1.877,The thing about kids who can't fight is
