Timestamp,Duration_Seconds,Dialogue
"00:00:00,072 --> 00:00:04,508",4.436,MY LIBERATION NOTES
"00:00:04,581 --> 00:00:08,507",3.926,MY LIBERATION NOTES
"00:00:08,927 --> 00:00:10,552",1.625,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:10,632 --> 00:00:12,304",1.672,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:12,735 --> 00:00:15,837",3.102,STAR CLASS MOON CLASS
"00:00:15,919 --> 00:00:17,656",1.737,SANPO SINKS
"00:00:22,164 --> 00:00:23,074",0.910,Careful.
"00:00:34,074 --> 00:00:36,844",2.770,"Yes, please put them from here to here."
"00:00:36,928 --> 00:00:37,878",0.950,"Sure, got it."
"00:01:20,309 --> 00:01:24,403",4.094,SOMETHING GOOD WILL HAPPEN TO YOU TODAY
"00:01:24,485 --> 00:01:27,670",3.185,SOMETHING GOOD
"00:01:27,752 --> 00:01:32,219",4.467,WILL HAPPEN TO YOU TODAY
"00:01:49,174 --> 00:01:51,739",2.565,"SOMETHING GOOD WILL HAPPEN TO YOU TODAY. IMMEDIATELY HE SPOKE TO THEM AND SAID,"
"00:01:51,822 --> 00:01:53,558",1.736,TAKE COURAGE! IT IS I. DON’T BE AFRAID. MARK 6:50
"00:01:59,596 --> 00:02:01,168",1.572,<i>It's just outside of Seoul.</i>
"00:02:01,250 --> 00:02:04,435",3.185,<i>I feel better when I see this.</i>
"00:02:31,936 --> 00:02:33,342",1.406,"Here, drink this."
"00:02:42,192 --> 00:02:45,832",3.640,Doesn't my tan look bad? As if I got it while working on a farm?
"00:02:45,914 --> 00:02:47,899",1.985,The one who works on a farm is pale.
"00:02:50,091 --> 00:02:51,414",1.323,I'm starting to peel.
"00:02:51,497 --> 00:02:55,012",3.515,"You'd think coconut crabs would taste sweet because they eat coconuts, right?"
"00:02:55,094 --> 00:02:57,328",2.234,But they're not. Not at all.
"00:02:58,403 --> 00:03:01,505",3.102,"SANPO KITCHEN SINKS, CLOSETS CUSTOM-DESIGNED FURNITURES"
"00:03:26,070 --> 00:03:28,344",2.274,"I'm very happy, thanks to you."
"00:03:31,115 --> 00:03:36,285",5.170,I'd had it and thought I couldn't work with him anymore.
"00:03:37,567 --> 00:03:38,765",1.198,"And, again,"
"00:03:38,849 --> 00:03:41,454",2.605,there was no way I'd find someone he'd like.
"00:03:44,183 --> 00:03:45,838",1.655,He's a different level of grumpy.
"00:03:47,161 --> 00:03:49,229",2.068,He doesn't even say what he wants properly.
"00:03:49,311 --> 00:03:51,214",1.903,He just yells if he doesn't like something.
"00:03:57,004 --> 00:04:01,387",4.383,How do you two just know what the other needs without saying a word?
"00:04:01,966 --> 00:04:06,226",4.260,"He just looks around, and you just know what he wants and give it to him."
"00:04:08,045 --> 00:04:10,775",2.730,I've lived with him for 40 years and I still can't do that.
"00:04:13,504 --> 00:04:15,448",1.944,Maybe you were partners in your past lives.
"00:04:15,530 --> 00:04:16,565",1.035,Such perfect teamwork.
"00:04:23,884 --> 00:04:24,877",0.993,I'm home.
"00:04:24,960 --> 00:04:26,862",1.902,Hey. You're back just in time.
"00:04:27,358 --> 00:04:29,550",2.192,-Sit. Eat before you wash up. -Okay.
"00:04:31,866 --> 00:04:35,091",3.225,A new product came out. Try it.
"00:05:07,803 --> 00:05:09,499",1.696,It must be cooling down.
"00:05:10,119 --> 00:05:13,552",3.433,"Even just a few days ago, it was still so hot around this time."
"00:05:15,123 --> 00:05:17,728",2.605,I can tell the season is changing here.
"00:05:18,307 --> 00:05:19,755",1.448,But I can't tell in Seoul.
"00:05:21,327 --> 00:05:22,443",1.116,"Hey, walk on this side."
"00:05:28,481 --> 00:05:29,887",1.406,There's something dead there.
"00:05:31,086 --> 00:05:31,913",0.827,What is it?
"00:05:33,857 --> 00:05:34,974",1.117,A bird?
"00:05:37,786 --> 00:05:39,110",1.324,I hope someone flips it over.
"00:05:42,459 --> 00:05:47,132",4.673,Why do animals die with their bellies up?
"00:05:47,214 --> 00:05:48,745",1.531,Like humans.
"00:05:53,459 --> 00:05:57,554",4.095,You see a dead animal every morning in a neighborhood like this.
"00:05:58,587 --> 00:06:00,821",2.234,"The head of a rat left behind by a weasel,"
"00:06:01,483 --> 00:06:03,426",1.943,or a squirrel that drowned in a water tank.
"00:06:04,542 --> 00:06:07,107",2.565,"I used to see dead frogs most often when I was little,"
"00:06:07,190 --> 00:06:08,636",1.446,but we don't have paddies now.
"00:06:10,457 --> 00:06:12,896",2.439,"Back when our house was surrounded by paddies,"
"00:06:13,558 --> 00:06:15,915",2.357,"frogs used to cross the street every night,"
"00:06:15,998 --> 00:06:19,968",3.970,from this side to that side.
"00:06:21,043 --> 00:06:22,408",1.365,But if a car went by then…
"00:06:24,890 --> 00:06:26,254",1.364,you'd hear them burst.
"00:06:28,612 --> 00:06:30,638",2.026,In the dead of the night…
"00:06:38,288 --> 00:06:40,067",1.779,"The next morning, you'd see"
"00:06:40,149 --> 00:06:43,624",3.475,frog bits all over the ground like confetti.
"00:06:46,725 --> 00:06:49,909",3.184,But I don't know why they'd always cross the street at night.
"00:06:52,970 --> 00:06:55,368",2.398,Was the ground too hot for them during the day?
"00:07:06,079 --> 00:07:09,677",3.598,<i>I used to not talk unless someone made me.</i>
"00:07:10,298 --> 00:07:12,613",2.315,"""Would anyone want to hear what I have to say?"""
"00:07:13,399 --> 00:07:14,474",1.075,"But now,"
"00:07:15,798 --> 00:07:18,486",2.688,I just say whatever's in my head.
"00:07:19,354 --> 00:07:20,223",0.869,It just…
"00:07:21,753 --> 00:07:22,704",0.951,comes out.
"00:07:25,102 --> 00:07:26,095",0.993,And…
"00:07:27,335 --> 00:07:30,231",2.896,I have this feeling I've never had before.
"00:07:34,118 --> 00:07:35,359",1.241,Suddenly…
"00:07:39,081 --> 00:07:40,611",1.530,I feel lovable.
"00:07:52,727 --> 00:07:54,630",1.903,Who says something like that while eating?
"00:08:34,373 --> 00:08:36,233",1.860,Enjoy your lunch.
"00:08:36,316 --> 00:08:37,888",1.572,"-Thanks. -Well, then."
"00:08:50,956 --> 00:08:51,989",1.033,Is that why?
"00:08:52,858 --> 00:08:53,892",1.034,Yes.
"00:08:55,795 --> 00:08:56,870",1.075,You're so brave.
"00:08:58,028 --> 00:09:02,287",4.259,"I wanted to tell him how I felt, but I was still scared to do it."
"00:09:03,114 --> 00:09:05,389",2.275,So I had a backup plan in case I got rejected.
"00:09:06,298 --> 00:09:07,746",1.448,And this was the result.
"00:09:08,573 --> 00:09:10,434",1.861,"You seem better than I expected, though."
"00:09:12,047 --> 00:09:15,562",3.515,My face still gets red when I think about it.
"00:09:16,183 --> 00:09:19,904",3.721,But I can get over it by humming to myself.
"00:09:21,931 --> 00:09:22,799",0.868,You're amazing.
