Timestamp,Duration_Seconds,Dialogue
"00:00:02,388 --> 00:00:06,862",4.474,MY LIBERATION NOTES
"00:00:06,942 --> 00:00:11,856",4.914,MY LIBERATION NOTES
"00:00:12,320 --> 00:00:13,959",1.639,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:14,048 --> 00:00:15,734",1.686,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:38,847 --> 00:00:39,973",1.126,"SANPO KITCHEN SINKS, CLOSETS CUSTOM-DESIGNED FURNITURE"
"00:00:40,056 --> 00:00:41,308",1.252,SANPO SINKS
"00:01:08,877 --> 00:01:11,004",2.127,"SANPO KITCHEN SINK, CLOSET CUSTOM-DESIGNED FURNITURE"
"00:01:26,937 --> 00:01:27,771",0.834,Sorry!
"00:01:34,110 --> 00:01:36,655",2.545,Hang on. This is our dad's truck.
"00:01:36,738 --> 00:01:38,865",2.127,Why did I say sorry? Jeez.
"00:01:40,200 --> 00:01:41,201",1.001,What the heck?
"00:01:57,801 --> 00:01:59,219",1.418,SANPO SINKS
"00:02:13,316 --> 00:02:14,359",1.043,We're home.
"00:02:14,442 --> 00:02:15,360",0.918,Hey.
"00:02:15,902 --> 00:02:17,904",2.002,"Wash up quick and come eat, okay?"
"00:02:18,780 --> 00:02:20,073",1.293,I'll pass today.
"00:02:20,156 --> 00:02:22,742",2.586,"Why? Wash up and come eat, okay?"
"00:02:25,120 --> 00:02:26,871",1.751,Did you eat while you were out?
"00:02:26,955 --> 00:02:28,540",1.585,Of course not.
"00:02:29,124 --> 00:02:31,209",2.085,Then why isn't he eating?
"00:02:55,692 --> 00:02:57,235",1.543,Just leave him.
"00:02:57,319 --> 00:02:59,487",2.168,Why do you keep bothering him?
"00:02:59,571 --> 00:03:02,907",3.336,Then what? Just let him starve when he worked all day?
"00:03:03,533 --> 00:03:07,203",3.670,He must want to drink on an empty stomach.
"00:03:07,287 --> 00:03:09,164",1.877,We know he drinks every day.
"00:03:09,247 --> 00:03:12,000",2.753,You take care of him every day. Do you think he loves that?
"00:03:12,083 --> 00:03:14,961",2.878,"It's like you're saying, ""Pull yourself together already."""
"00:03:15,045 --> 00:03:16,463",1.418,He probably feels pressured.
"00:03:17,213 --> 00:03:18,214",1.001,Who's pressuring him?
"00:03:18,298 --> 00:03:19,674",1.376,"You are, Mom."
"00:03:40,195 --> 00:03:42,405",2.210,<i>I don't know what to take photos of.</i>
"00:03:45,617 --> 00:03:47,744",2.127,<i>I saw a tricycle on my way here.</i>
"00:04:09,307 --> 00:04:10,809",1.502,<i>Why do you drink every day?</i>
"00:04:12,394 --> 00:04:13,561",1.167,<i>What else would I do?</i>
"00:04:14,896 --> 00:04:16,439",1.543,<i>Should I give you something to do?</i>
"00:04:18,233 --> 00:04:19,567",1.334,Worship me.
"00:04:22,278 --> 00:04:24,781",2.503,<i>I've never felt whole before.</i>
"00:04:26,491 --> 00:04:28,576",2.085,<i>One asshole after another…</i>
"00:04:29,119 --> 00:04:32,038",2.919,Every guy I've ever dated was an asshole.
"00:04:32,997 --> 00:04:35,417",2.420,So worship me and make me feel whole.
"00:04:38,294 --> 00:04:40,130",1.836,<i>It'll be winter soon.</i>
