Timestamp,Duration_Seconds,Dialogue
"00:00:00,085 --> 00:00:04,521",4.436,MY LIBERATION NOTES
"00:00:04,601 --> 00:00:08,023",3.422,MY LIBERATION NOTES
"00:00:08,498 --> 00:00:10,124",1.626,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:10,212 --> 00:00:11,884",1.672,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:14,948 --> 00:00:16,478",1.530,What's your name?
"00:00:18,092 --> 00:00:21,027",2.935,It's Gu Ja-gyeong.
"00:00:23,923 --> 00:00:25,866",1.943,How did you get my phone number?
"00:00:27,438 --> 00:00:28,760",1.322,I went to your house.
"00:00:33,310 --> 00:00:34,302",0.992,When?
"00:00:35,791 --> 00:00:36,990",1.199,A few days ago.
"00:00:37,735 --> 00:00:38,935",1.200,Why all of a sudden?
"00:00:40,960 --> 00:00:41,912",0.952,Just because.
"00:00:45,882 --> 00:00:47,908",2.026,You must have heard my mom passed away.
"00:00:49,893 --> 00:00:50,721",0.828,Yes.
"00:00:51,630 --> 00:00:53,409",1.779,And that my dad got remarried.
"00:01:05,401 --> 00:01:06,270",0.869,What is it?
"00:01:09,579 --> 00:01:10,612",1.033,It's just strange.
"00:01:11,770 --> 00:01:14,045",2.275,"So this day came, after all."
"00:01:14,872 --> 00:01:19,545",4.673,"""When might we meet again, and how? Will we ever meet again?"""
"00:01:20,455 --> 00:01:23,309",2.854,"""I'd be so happy if he called me right now."""
"00:01:24,218 --> 00:01:27,030",2.812,"When I was sincerely wishing for it, I never heard from you,"
"00:01:27,113 --> 00:01:28,974",1.861,"and when I least expected it, you…"
"00:01:30,670 --> 00:01:31,992",1.322,What were you doing?
"00:01:34,267 --> 00:01:35,591",1.324,Preparing for war.
"00:01:36,377 --> 00:01:38,692",2.315,I was ready to bring out my evil side today.
"00:01:39,602 --> 00:01:40,553",0.951,Against who?
"00:01:45,474 --> 00:01:47,790",2.316,"Where are we going, by the way?"
"00:01:49,031 --> 00:01:50,850",1.819,"Good point. Well, it's cold, right?"
"00:01:51,719 --> 00:01:53,456",1.737,Shall we go inside somewhere? A cafe?
"00:01:55,317 --> 00:01:56,392",1.075,Are you cold?
"00:01:56,475 --> 00:01:58,790",2.315,No. What about you?
"00:01:59,494 --> 00:02:01,686",2.192,"I'm alright, too. Let's just walk."
"00:02:03,133 --> 00:02:06,483",3.350,It'll be awkward sitting face to face with a cup of coffee.
"00:02:08,716 --> 00:02:10,287",1.571,"Now that I think of it,"
"00:02:11,321 --> 00:02:14,009",2.688,I've never had a cup of coffee with you at a cafe.
"00:02:15,168 --> 00:02:17,566",2.398,Of course not. How could we while we were there?
"00:02:18,145 --> 00:02:21,495",3.350,We just drank cold water after picking cabbages and radish.
"00:02:26,168 --> 00:02:27,657",1.489,"Just as I thought,"
"00:02:28,566 --> 00:02:30,303",1.737,we suit the fields better.
"00:02:32,454 --> 00:02:33,446",0.992,It's comfortable.
"00:02:34,273 --> 00:02:37,954",3.681,"Trees, wind, and rocks don't irritate us."
"00:02:39,981 --> 00:02:43,992",4.011,I get irritable when I'm in places with a lot of people.
"00:02:45,398 --> 00:02:49,492",4.094,Even someone sitting alone at a table next to mine in a café irritates me.
"00:02:50,733 --> 00:02:52,842",2.109,Even though they're not doing anything.
"00:02:55,240 --> 00:02:57,185",1.945,Maybe we just hate people.
"00:03:00,286 --> 00:03:01,816",1.530,I thought I was the only one.
"00:03:04,049 --> 00:03:07,027",2.978,"If someone comes your way when you're walking like this,"
"00:03:07,110 --> 00:03:08,805",1.695,don't they irritate you?
"00:03:18,979 --> 00:03:20,881",1.902,Do you think he was irritated by us too?
"00:03:23,776 --> 00:03:27,001",3.225,"When it's one against many, it's always the one that gets irritated."
"00:03:27,829 --> 00:03:29,855",2.026,The many don't really care.
"00:03:31,592 --> 00:03:34,735",3.143,But the one is always on their guard. Since they're alone.
"00:03:40,732 --> 00:03:42,138",1.406,I get weird when I'm with you.
"00:03:43,584 --> 00:03:45,487",1.903,I keep saying things I never thought of.
"00:03:49,292 --> 00:03:52,228",2.936,Are we a two? Or just one against one?
"00:04:03,724 --> 00:04:05,296",1.572,Are you drawing a line between us?
"00:04:18,075 --> 00:04:19,978",1.903,Why didn't you call me sooner?
"00:04:37,346 --> 00:04:40,076",2.730,GWANGCHANG MARKET
"00:04:53,516 --> 00:04:54,385",0.869,They fit you well.
"00:04:55,460 --> 00:04:57,404",1.944,"No, I'll pay."
"00:04:58,148 --> 00:04:59,761",1.613,-Thank you. -Thank you.
"00:05:01,994 --> 00:05:03,194",1.200,Put it in my bag.
"00:05:28,710 --> 00:05:29,578",0.868,There…
"00:05:42,687 --> 00:05:43,597",0.910,Is it good?
