Timestamp,Duration_Seconds,Dialogue
"00:00:00,100 --> 00:00:04,536",4.436,MY LIBERATION NOTES
"00:00:04,617 --> 00:00:09,000",4.383,MY LIBERATION NOTES
"00:00:09,400 --> 00:00:11,025",1.625,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:11,113 --> 00:00:12,785",1.672,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:01:08,201 --> 00:01:10,558",2.357,SANPO SINKS
"00:01:11,426 --> 00:01:12,295",0.869,I got it.
"00:01:15,768 --> 00:01:18,250",2.482,Put this over there. Right there.
"00:01:18,332 --> 00:01:20,441",2.109,This is the top.
"00:01:21,104 --> 00:01:22,592",1.488,"-That's the top, okay? -Okay."
"00:01:40,623 --> 00:01:41,533",0.910,Gosh.
"00:02:13,955 --> 00:02:14,948",0.993,Thanks for this.
"00:02:15,030 --> 00:02:17,594",2.564,You're welcome. Get washed up and come have lunch.
"00:02:25,700 --> 00:02:29,215",3.515,MONTHLY SCHEDULE GU
"00:02:48,652 --> 00:02:49,603",0.951,What?
"00:02:49,686 --> 00:02:51,382",1.696,Yeom Mi-jeong doesn't live here.
"00:02:51,961 --> 00:02:53,325",1.364,You're at the right place.
"00:02:54,731 --> 00:02:56,882",2.151,What? But this one is addressed to her house.
"00:02:56,965 --> 00:02:59,901",2.936,-Should I leave this here too? -That goes over there.
"00:03:18,511 --> 00:03:20,578",2.067,HANJO BANK CREDIT DEPARTMENT NOTICE OF DELINQUENCY
"00:03:20,660 --> 00:03:21,902",1.242,PRIVATE AND CONFIDENTIAL MS. YEOM MI-JEONG
"00:03:24,052 --> 00:03:26,161",2.109,NOTICE OF DELINQUENCY
"00:03:41,256 --> 00:03:44,275",3.019,It's never been this hot. What's happening to this planet?
"00:03:51,470 --> 00:03:53,579",2.109,I can't wait for winter to come.
"00:03:54,696 --> 00:03:57,881",3.185,"When it does, you're going to wish it was summer again."
"00:03:59,534 --> 00:04:04,456",4.922,Let's remember how we're feeling right now and use it when it gets cold.
"00:04:05,242 --> 00:04:07,888",2.646,We'll save it for winter.
"00:04:09,046 --> 00:04:12,231",3.185,You can just use your memories from last winter right now then.
"00:04:13,058 --> 00:04:14,919",1.861,Didn't you save anything to remember?
"00:04:29,021 --> 00:04:32,743",3.722,VILLAGE BUS
"00:05:13,229 --> 00:05:14,346",1.117,Your letter's here.
"00:05:16,248 --> 00:05:17,530",1.282,I'll pick it up later.
"00:05:23,817 --> 00:05:25,015",1.198,I'm home.
"00:05:28,159 --> 00:05:29,399",1.240,What did Mr. Gu say to you?
"00:05:31,509 --> 00:05:34,072",2.563,It's not like him to say something first.
"00:05:34,155 --> 00:05:35,437",1.282,What did he say?
"00:05:37,629 --> 00:05:40,772",3.143,He has some of our plates to return. I said I'd pick them up later.
"00:05:42,675 --> 00:05:45,031",2.356,"I tell him to bring them over, but he always forgets."
"00:05:47,016 --> 00:05:48,878",1.862,The table is set. Eat before you wash up.
"00:05:50,945 --> 00:05:52,227",1.282,I'll be heading out then.
"00:05:52,310 --> 00:05:54,957",2.647,"-See you tomorrow. -Okay, see you."
"00:06:01,946 --> 00:06:03,848",1.902,"You know, my neighborhood really is great."
"00:06:03,931 --> 00:06:06,330",2.399,It's close to work and it's a nice place to live.
"00:06:06,412 --> 00:06:08,439",2.027,I can show you around when you're free.
"00:06:09,349 --> 00:06:10,176",0.827,"Yes, sure."
