Timestamp,Duration_Seconds,Dialogue
"00:00:12,346 --> 00:00:14,068",1.722,"ALL LOCATIONS, CHARACTERS, ORGANIZATIONS, AND INCIDENTS"
"00:00:14,068 --> 00:00:15,784",1.716,DEPICTED IN THIS DRAMA ARE ENTIRELY FICTITIOUS
"00:00:16,144 --> 00:00:16,978",0.834,SOY SAUCE
"00:00:17,061 --> 00:00:18,271",1.210,-It's okay. -All right.
"00:00:18,354 --> 00:00:19,730",1.376,-Thank you. -Take care.
"00:00:22,150 --> 00:00:25,027",2.877,SUPERMARKET
"00:00:39,333 --> 00:00:41,544",2.211,This car even rattles differently.
"00:00:55,975 --> 00:00:57,643",1.668,"I've seen them on the road before,"
"00:00:57,727 --> 00:01:00,479",2.752,but it's my first time meeting someone who drives one.
"00:01:01,272 --> 00:01:03,107",1.835,-I'm honored. -It's nothing.
"00:01:03,190 --> 00:01:05,902",2.712,-May I shake your hand? -Right.
"00:01:05,985 --> 00:01:07,653",1.668,I'm his friend.
"00:01:07,737 --> 00:01:09,989",2.252,Right…
"00:01:10,489 --> 00:01:14,702",4.213,It would be hard to park this kind of big car in an apartment complex.
"00:01:14,785 --> 00:01:16,162",1.377,"You don't live in one, right?"
"00:01:16,954 --> 00:01:17,872",0.918,No…
"00:01:17,955 --> 00:01:21,292",3.337,I knew it. You can't own this kind of car if you live in an apartment.
"00:01:21,918 --> 00:01:23,669",1.751,You've succeeded at such a young age.
"00:01:25,296 --> 00:01:29,300",4.004,"Well, it's not my car. It's my sister's boyfriend's."
"00:01:30,259 --> 00:01:31,552",1.293,I see.
"00:01:33,012 --> 00:01:35,264",2.252,"Still, it's really cool, you know?"
"00:01:35,348 --> 00:01:37,767",2.419,-It's amazing. -How much does one of these cost?
"00:01:37,850 --> 00:01:39,352",1.502,"-Well, I'm not sure exactly. -Hi."
"00:01:39,435 --> 00:01:41,312",1.877,-But the price wouldn't matter… -All right.
"00:01:41,395 --> 00:01:42,605",1.210,…to people who choose to drive them.
